日付,区分,時限,科目コード,科目名,担当教員,講義室
28(火),授業,1-2,ARC.P305,国土・都市計画論,"中井 検裕,十代田 朗Nakai Norihiro,Soshiroda Akira",W933
28(火),期末試験,1-2,CAP.A353,エネルギー・資源変換化学第三（光エネルギー変換）,和田 雄二Wada Yuji,S422
28(火),授業,1-2,CVE.C311,地盤調査・施工学,"北詰 昌樹,竹村 次朗 他Kitazume Masaki,Takemura Jiro et al.",M113
28(火),授業,1-2,CVE.D211,国土・都市計画概論,"朝倉 康夫,中井 検裕Asakura Yasuo, Nakai Norihiro","W933,M111"
28(火),授業,1-2,EEE.S361,光エレクトロニクス,"小山 二三夫,植之原 裕行Koyama Fumio, Uenohara Hiroyuki",S223
28(火),授業,1-2,IEE.B204,マクロ経済学第二,大土井 涼二Ohdoi Ryoji,W934
28(火),授業,1-2,IEE.B333,環境経済学,"棟居 洋介,増井 利彦 他Munesue Yosuke, Masui Toshihiko et al.",W932
28(火),期末試験,1-2,LAL.C204-01,中国語初級４ C01,劉 岸偉Liu Anwei,"1ラボ,Language Lab 1"
28(火),授業&試験,1-2,LAL.C204-03,中国語初級４ C03,※真鍋 丁香※Manabe Teika,"2ラボ,Language Lab 2"
28(火),授業&試験,1-2,LAL.C204-04,中国語初級４ C04,※城 愛裕美※Zyo Ayumi,W323
28(火),授業&試験,1-2,LAL.C204-05,中国語初級４ C05,※山木 雅美※Yamaki Masami,"4ラボ,Language Lab 4"
28(火),授業&試験,1-2,LAL.C204-06,中国語初級４ C06,※朴 敬玉※Piao Jingyu,"3ラボ,Language Lab 3"
28(火),授業,1-2,LAL.F204-01,フランス語初級４ F01,JEAN FRANCOISE MARIE-MONIQUEJean Francoise,"W3-412,ゼミナール室,W3-412,Seminar Room"
28(火),授業&試験,1-2,LAL.F204-02,フランス語初級４ F02,※佐々木 匠※Sasaki Takumi,H102
28(火),授業&試験,1-2,LAL.G204-01,ドイツ語初級４ D11,※小笠原 能仁※Ogasawara Yoshihito,W371
28(火),授業,1-2,LAL.G204-02,ドイツ語初級４ D12,山崎 太郎Yamazaki Tarou,W332
28(火),授業,1-2,LAL.G204-03,ドイツ語初級４ D13,安德 万貴子Antoku Makiko,H104
28(火),授業&試験,1-2,LAL.R204-01,ロシア語初級４ R01,※桑田 匡之※Kuwata Masayuki,W322
28(火),授業&試験,1-2,LAS.C107-11,化学熱力学基礎 A,西野 智昭Nishino Tomoaki,S221
28(火),授業&試験,1-2,LAS.C107-12,化学熱力学基礎 B,前田 和彦Maeda Kazuhiko,W242
