日付,区分,時限,科目コード,科目名,担当教員,講義室
28(火),授業,1-2,ARC.P305,国土・都市計画論,"中井 検裕,十代田 朗",W933
28(火),期末試験,1-2,CAP.A353,エネルギー・資源変換化学第三（光エネルギー変換）,和田 雄二,S422
28(火),授業,1-2,CVE.C311,地盤調査・施工学,"北詰 昌樹,竹村 次朗 他",M113
28(火),授業,1-2,CVE.D211,国土・都市計画概論,"朝倉 康夫,中井 検裕","W933,M111"
28(火),授業,1-2,EEE.S361,光エレクトロニクス,"小山 二三夫,植之原 裕行",S223
28(火),授業,1-2,IEE.B204,マクロ経済学第二,大土井 涼二,W934
28(火),授業,1-2,IEE.B333,環境経済学,"棟居 洋介,増井 利彦 他",W932
28(火),期末試験,1-2,LAL.C204-01,中国語初級４ C01,劉 岸偉Liu Anwei,"1ラボ,Language Lab 1"
28(火),授業&試験,1-2,LAL.C204-03,中国語初級４ C03,※真鍋 丁香,"2ラボ,Language Lab 2"
28(火),授業&試験,1-2,LAL.C204-04,中国語初級４ C04,※城 愛裕美,W323
28(火),授業&試験,1-2,LAL.C204-05,中国語初級４ C05,※山木 雅美,"4ラボ,Language Lab 4"
28(火),授業&試験,1-2,LAL.C204-06,中国語初級４ C06,※朴 敬玉,"3ラボ,Language Lab 3"
28(火),授業,1-2,LAL.F204-01,フランス語初級４ F01,JEAN FRANCOISE MARIE-MONIQUE,"W3-412,ゼミナール室,W3-412,Seminar Room"
28(火),授業&試験,1-2,LAL.F204-02,フランス語初級４ F02,※佐々木 匠,H102
28(火),授業&試験,1-2,LAL.G204-01,ドイツ語初級４ D11,※小笠原 能仁,W371
28(火),授業,1-2,LAL.G204-02,ドイツ語初級４ D12,山崎 太郎,W332
28(火),授業,1-2,LAL.G204-03,ドイツ語初級４ D13,安德 万貴子Antoku Makiko,H104
28(火),授業&試験,1-2,LAL.R204-01,ロシア語初級４ R01,※桑田 匡之,W322
28(火),授業&試験,1-2,LAS.C107-11,化学熱力学基礎 A,西野 智昭,S221
28(火),授業&試験,1-2,LAS.C107-12,化学熱力学基礎 B,前田 和彦,W242
28(火),授業&試験,1-2,LAS.C107-13,化学熱力学基礎 C,※飯田 肇,W351
28(火),授業&試験,1-2,LAS.C107-14,化学熱力学基礎 D,小澤 健一Ozawa Kenichi,W321
28(火),授業&試験,1-2,LAS.C107-19,化学熱力学基礎 English Class,JUHASZ GERGELY MIKLOS,H112
28(火),授業,1-2,LAS.M106-08,線形代数学第二 S(61～70),※黒川 信重,W541
28(火),授業,1-2,LAS.M106-09,線形代数学第二 T(71～80),遠藤 久顕Endo Hisaaki,S222
28(火),期末試験,1-2,LAS.P104-01,電磁気学基礎２ A,今村 洋介,W521
28(火),期末試験,1-2,LAS.P104-02,電磁気学基礎２ B,相川 清隆Aikawa Kiyotaka,W621
28(火),期末試験,1-2,LAS.P104-03,電磁気学基礎２ C,藤澤 利正,W631
28(火),期末試験,1-2,LAS.P104-04,電磁気学基礎２ D,中村 隆司,W611
28(火),授業,1-2,LST.A247,生物無機化学,"上野 隆史, 蒲池 利章",H101
28(火),授業,1-2,LST.A248,遺伝学,"立花 和則,若林 憲一 他",H121
28(火),授業,1-2,MAT.C316,生体材料学,"生駒 俊之,※陳 国平",S7-202
28(火),授業,1-2,MEC.C211-02,弾塑性力学 B,"井上 裕嗣, 水谷 義弘",I121
28(火),授業,1-2,TSE.A201-02,材料・物性工学基礎,"髙橋 邦夫, 日野出 洋文 他",S513
28(火),授業,1-2,TSE.A201-03,材料・物性工学基礎,"髙橋 邦夫,日野出 洋文 他",S514
28(火),授業,1-4,MEC.E331,エネルギー変換工学,"平井 秀一郎,小酒 英範 他",S011
28(火),授業,1-4,MEC.P212-01,機械系応用実験 A,各 教員Teaching Staffs,"石川台1号館204,253号室"
28(火),期末試験,3-4,CAP.A275,無機化学（固体化学）,大友 明Ohtomo Akira,S621
28(火),授業,3-4,CAP.C213,化学プロセスシステム第一（解析・合成）,松本 秀行Matsumoto Hideyuki,S421
28(火),期末試験,3-4,CAP.A382,分析化学演習,山中 一郎,S422
28(火),授業,3-4,CHM.C202,化学統計熱力学,西野 智昭,H113
28(火),授業,3-4,CSC.T375,システム構築演習,"佐伯 元司,小林 隆志 他",情報工学系計算機室
28(火),授業,3-4,CVE.B202,水理学第二,"鼎 信次郎,吉村 千洋",M114
28(火),授業,3-4,CVE.N301,土木史・土木技術者倫理,"朝倉 康夫,北詰 昌樹 他",M113
28(火),授業,3-4,EEE.P301,電気機器工学,"千葉 明,萩原 誠",S221
28(火),授業,3-4,EEE.P322,電力工学第二,"七原 俊也,河邊 賢一",S321
28(火),授業,3-4,EPS.A336,地球惑星ダイナミクス,"中島 淳一,小川 康雄",I2-318
